Reviewed?,Sign-off,String Key,Current Reference (English),Used Reference (English),String Value,Comments
FALSE,Jebb,count.flashes.withUnit.other,{FLASHES} flashes & games,{FLASHES} flashes & games,{FLASHES} флэшей и игр,
FALSE,,count.tracks,{TRACKS},{TRACKS},{TRACKS},
FALSE,,count.tracks.withUnit.zero,,,,
FALSE,Jebb,count.tracks.withUnit.one,{TRACKS} track,{TRACKS} track,{TRACKS} трек,
FALSE,,count.tracks.withUnit.two,,,,
FALSE,,count.tracks.withUnit.few,,,,
FALSE,,count.tracks.withUnit.many,,,,
FALSE,Jebb,count.tracks.withUnit.other,{TRACKS} tracks,{TRACKS} tracks,{TRACKS} треков,
FALSE,,count.days,{DAYS},{DAYS},{DAYS},
FALSE,,count.days.withUnit.zero,,,,
FALSE,Jebb,count.days.withUnit.one,{DAYS} day,{DAYS} day,{DAYS} день,
FALSE,,count.days.withUnit.two,,,,
FALSE,,count.days.withUnit.few,,,,
FALSE,,count.days.withUnit.many,,,,
FALSE,Jebb,count.days.withUnit.other,{DAYS} days,{DAYS} days,{DAYS} дней,
FALSE,,count.months,{MONTHS},{MONTHS},{MONTHS},
FALSE,,count.months.withUnit.zero,,,,
FALSE,Jebb,count.months.withUnit.one,{MONTHS} month,{MONTHS} month,{MONTHS} месяц,
FALSE,,count.months.withUnit.two,,,,
FALSE,,count.months.withUnit.few,,,,
FALSE,,count.months.withUnit.many,,,,
FALSE,Jebb,count.months.withUnit.other,{MONTHS} months,{MONTHS} months,{MONTHS} месяцев,
FALSE,,count.timesReferenced,{TIMES_REFERENCED},{TIMES_REFERENCED},{TIMES_REFERENCED},
FALSE,,count.timesReferenced.withUnit.zero,,,,
FALSE,Jebb,count.timesReferenced.withUnit.one,{TIMES_REFERENCED} time referenced,{TIMES_REFERENCED} time referenced,{TIMES_REFERENCED} раз отсылается,
FALSE,,count.timesReferenced.withUnit.two,,,,
FALSE,,count.timesReferenced.withUnit.few,,,,
FALSE,,count.timesReferenced.withUnit.many,,,,
FALSE,Jebb,count.timesReferenced.withUnit.other,{TIMES_REFERENCED} times referenced,{TIMES_REFERENCED} times referenced,{TIMES_REFERENCED} раз отсылается,
FALSE,,count.timesUsed,{TIMES_USED},{TIMES_USED},{TIMES_USED},
FALSE,,count.timesUsed.withUnit.zero,,,,
FALSE,Jebb,count.timesUsed.withUnit.one,used {TIMES_USED} time,used {TIMES_USED} time,использовано {TIMES_USED} раз,
FALSE,,count.timesUsed.withUnit.two,,,,
FALSE,,count.timesUsed.withUnit.few,,,,
FALSE,,count.timesUsed.withUnit.many,,,,
FALSE,Jebb,count.timesUsed.withUnit.other,used {TIMES_USED} times,used {TIMES_USED} times,использовано {TIMES_USED} раз,
FALSE,,count.weeks,{WEEKS},{WEEKS},{WEEKS},
FALSE,,count.weeks.withUnit.zero,,,,
FALSE,Jebb,count.weeks.withUnit.one,{WEEKS} week,{WEEKS} week,{WEEKS} неделя,
FALSE,,count.weeks.withUnit.two,,,,
FALSE,,count.weeks.withUnit.few,,,,
FALSE,,count.weeks.withUnit.many,,,,
FALSE,Jebb,count.weeks.withUnit.other,{WEEKS} weeks,{WEEKS} weeks,{WEEKS} недель,
FALSE,,count.words,{WORDS},{WORDS},{WORDS},
FALSE,Jebb,count.words.thousand,{WORDS}k,{WORDS}k,{WORDS} тыс.,
FALSE,,count.words.withUnit.zero,,,,
FALSE,Jebb,count.words.withUnit.one,{WORDS} word,{WORDS} word,{WORDS} слово,
FALSE,,count.words.withUnit.two,,,,
FALSE,,count.words.withUnit.few,,,,
FALSE,,count.words.withUnit.many,,,,
FALSE,Jebb,count.words.withUnit.other,{WORDS} words,{WORDS} words,{WORDS} слов,
FALSE,,count.years,{YEARS},{YEARS},{YEARS},
FALSE,,count.years.withUnit.zero,,,,
FALSE,Jebb,count.years.withUnit.one,{YEARS} year,{YEARS} year,{YEARS} год,
FALSE,,count.years.withUnit.two,,,,
FALSE,,count.years.withUnit.few,,,,
FALSE,,count.years.withUnit.many,,,,
FALSE,Jebb,count.years.withUnit.other,{YEARS} years,{YEARS} years,{YEARS} лет,
FALSE,Jebb,count.duration.missing,_:__,_:__,_:__,
FALSE,Jebb,count.duration.approximate,~{DURATION},~{DURATION},~{DURATION},
FALSE,Jebb,count.duration.hours,{HOURS}:{MINUTES}:{SECONDS},{HOURS}:{MINUTES}:{SECONDS},{HOURS}:{MINUTES}:{SECONDS},
FALSE,Jebb,count.duration.hours.withUnit,{HOURS}:{MINUTES}:{SECONDS} hours,{HOURS}:{MINUTES}:{SECONDS} hours,{HOURS}:{MINUTES}:{SECONDS} часов,
FALSE,Jebb,count.duration.minutes,{MINUTES}:{SECONDS},{MINUTES}:{SECONDS},{MINUTES}:{SECONDS},
FALSE,Jebb,count.duration.minutes.withUnit,{MINUTES}:{SECONDS} minutes,{MINUTES}:{SECONDS} minutes,{MINUTES}:{SECONDS} минут,
FALSE,Jebb,count.dateDuration.earlier,{DURATION} earlier,{DURATION} earlier,{DURATION} ранее,
FALSE,Jebb,count.dateDuration.later,{DURATION} later,{DURATION} later,{DURATION} позднее,
FALSE,Jebb,count.dateDuration.same,on the same date,on the same date,в тот же день,
FALSE,Jebb,count.dateDuration.zero,at most one day,at most one day,максимум один день,
FALSE,Jebb,count.dateDuration.approximate,about {DURATION},about {DURATION},примерно {DURATION},
FALSE,Jebb,count.dateDuration.approximateEarlier,about {DURATION} earlier,about {DURATION} earlier,примерно {DURATION} ранее,
FALSE,Jebb,count.dateDuration.approximateLater,about {DURATION} later,about {DURATION} later,примерно {DURATION} позднее,
FALSE,,count.dateDuration.relativeAbsolute,{ABSOLUTE}; {RELATIVE},{ABSOLUTE}; {RELATIVE},{ABSOLUTE}; {RELATIVE},
FALSE,,count.dateDuration.years,{YEARS},{YEARS},{YEARS},
FALSE,,count.dateDuration.months,{MONTHS},{MONTHS},{MONTHS},
FALSE,,count.dateDuration.days,{DAYS},{DAYS},{DAYS},
FALSE,,count.dateDuration.yearsMonthsDays,"{YEARS}, {MONTHS}, {DAYS}","{YEARS}, {MONTHS}, {DAYS}","{YEARS}, {MONTHS}, {DAYS}",
FALSE,,count.dateDuration.yearsMonths,"{YEARS}, {MONTHS}","{YEARS}, {MONTHS}","{YEARS}, {MONTHS}",
FALSE,,count.dateDuration.yearsDays,"{YEARS}, {DAYS}","{YEARS}, {DAYS}","{YEARS}, {DAYS}",
FALSE,,count.dateDuration.monthsDays,"{MONTHS}, {DAYS}","{MONTHS}, {DAYS}","{MONTHS}, {DAYS}",
FALSE,Jebb,count.fileSize.terabytes,{TERABYTES} TB,{TERABYTES} TB,{TERABYTES} ТБ,
FALSE,Jebb,count.fileSize.gigabytes,{GIGABYTES} GB,{GIGABYTES} GB,{GIGABYTES} ГБ,
FALSE,Jebb,count.fileSize.megabytes,{MEGABYTES} MB,{MEGABYTES} MB,{MEGABYTES} МБ,
FALSE,Jebb,count.fileSize.kilobytes,{KILOBYTES} kB,{KILOBYTES} kB,{KILOBYTES} кБ,
FALSE,Jebb,count.fileSize.bytes,{BYTES} bytes,{BYTES} bytes,{BYTES} бит,
FALSE,,count.index.zero,,,,
FALSE,Jebb,count.index.one,{INDEX}st,{INDEX}st,{INDEX},
FALSE,Jebb,count.index.two,{INDEX}nd,{INDEX}nd,{INDEX},
FALSE,Jebb,count.index.few,{INDEX}rd,{INDEX}rd,{INDEX},
FALSE,,count.index.many,,,,
FALSE,Jebb,count.index.other,{INDEX}th,{INDEX}th,{INDEX},
FALSE,Jebb,releaseInfo.by,By {ARTISTS}.,By {ARTISTS}.,Создано {ARTISTS}.,
FALSE,,releaseInfo.by.featuring,"By {ARTISTS}, featuring {FEATURING}.","By {ARTISTS}, featuring {FEATURING}.",,
FALSE,Jebb,releaseInfo.from,From {ALBUM}.,From {ALBUM}.,Из {ALBUM}.,
FALSE,,releaseInfo.coverArtBy,Cover art by {ARTISTS}.,Cover art by {ARTISTS}.,,
FALSE,,releaseInfo.wallpaperArtBy,Wallpaper art by {ARTISTS}.,Wallpaper art by {ARTISTS}.,,
FALSE,,releaseInfo.bannerArtBy,Banner art by {ARTISTS}.,Banner art by {ARTISTS}.,,
FALSE,Jebb,releaseInfo.released,Released {DATE}.,Released {DATE}.,Опубликовано {DATE}.,
FALSE,,releaseInfo.artReleased,Art released {DATE}.,Art released {DATE}.,,
FALSE,Jebb,releaseInfo.addedToWiki,Added to wiki {DATE}.,Added to wiki {DATE}.,Добавлено в вики {DATE}.,
FALSE,Jebb,releaseInfo.duration,Duration: {DURATION}.,Duration: {DURATION}.,Длительность: {DURATION}.,
FALSE,Jebb,releaseInfo.contributors,Contributors:,Contributors:,Участники:,
FALSE,Jebb,releaseInfo.lyrics,Lyrics:,Lyrics:,Текст песни:,
FALSE,Jebb,releaseInfo.note,Context notes:,Context notes:,Контекстные примечания:,
FALSE,Jebb,releaseInfo.alsoReleasedAs,Also released as:,Also released as:,Также опубликовано как:,
FALSE,,releaseInfo.alsoReleasedAs.item,{TRACK} ({ALBUM}),{TRACK} ({ALBUM}),{TRACK} ({ALBUM}),
FALSE,,releaseInfo.alsoReleasedAs.item.withYear,({YEAR}) {TRACK} ({ALBUM}),({YEAR}) {TRACK} ({ALBUM}),({YEAR}) {TRACK} ({ALBUM}),
FALSE,,releaseInfo.tracksReferenced,Tracks that {TRACK} references:,Tracks that {TRACK} references:,Треки которые {TRACK} отсылает:,
FALSE,,releaseInfo.tracksReferenced.sticky,Tracks that this one references:,Tracks that this one references:,,
FALSE,,releaseInfo.tracksSampled,Tracks that {TRACK} samples:,Tracks that {TRACK} samples:,Треки которые {TRACK} сэмплирует:,
FALSE,,releaseInfo.tracksSampled.sticky,Tracks that this one samples:,Tracks that this one samples:,,
FALSE,,releaseInfo.tracksThatReference,Tracks that reference {TRACK}:,Tracks that reference {TRACK}:,Треки которые отсылают {TRACK}:,
FALSE,,releaseInfo.tracksThatReference.sticky,Tracks that reference this one:,Tracks that reference this one:,,
FALSE,,releaseInfo.tracksThatReference.sticky.fromGroup,Tracks from {GROUP} that reference this one:,Tracks from {GROUP} that reference this one:,,
FALSE,,releaseInfo.tracksThatReference.sticky.fromOther,Tracks from somewhere else that reference this one:,Tracks from somewhere else that reference this one:,,
FALSE,,releaseInfo.tracksThatSample,Tracks that sample {TRACK}:,Tracks that sample {TRACK}:,Треки которые сэмплируют {TRACK}:,
FALSE,,releaseInfo.tracksThatSample.sticky,Tracks that sample this one:,Tracks that sample this one:,,
FALSE,,releaseInfo.tracksThatSample.sticky.fromGroup,Tracks from {GROUP} that sample this one:,Tracks from {GROUP} that sample this one:,,
FALSE,,releaseInfo.tracksThatSample.sticky.fromOther,Tracks from somewhere else that sample this one:,Tracks from somewhere else that sample this one:,,
FALSE,,releaseInfo.flashesThatFeature,Flashes & games that feature {TRACK}:,Flashes & games that feature {TRACK}:,Флеши и игры в которых есть {TRACK}:,
FALSE,,releaseInfo.flashesThatFeature.sticky,Flashes & games that feature this track:,Flashes & games that feature this track:,,
FALSE,,releaseInfo.flashesThatFeature.item,{FLASH},{FLASH},{FLASH},
FALSE,,releaseInfo.flashesThatFeature.item.asDifferentRelease,{FLASH} (as {TRACK}),{FLASH} (as {TRACK}),,
FALSE,,releaseInfo.referencesArtworks,References {ARTWORKS}.,References {ARTWORKS}.,,
FALSE,,releaseInfo.referencedByArtworks,Referenced by {ARTWORKS}.,Referenced by {ARTWORKS}.,,
FALSE,,releaseInfo.tracksFeatured,Tracks that {FLASH} features:,Tracks that {FLASH} features:,Треки которые есть в {FLASH}:,
FALSE,,releaseInfo.viewCommentary,View {LINK}!,View {LINK}!,Смотреть {LINK}!,
FALSE,,releaseInfo.viewCommentary.link,commentary page,commentary page,страница комментариев,
FALSE,,releaseInfo.viewGallery,View {LINK}!,View {LINK}!,Смотреть {LINK}!,
FALSE,,releaseInfo.viewGallery.link,gallery page,gallery page,страница галереи,
FALSE,,releaseInfo.viewGalleryOrCommentary,View {GALLERY} or {COMMENTARY}!,View {GALLERY} or {COMMENTARY}!,Смотреть {GALLERY} или {COMMENTARY}!,
FALSE,,releaseInfo.viewGalleryOrCommentary.gallery,gallery page,gallery page,страница галереи,
FALSE,,releaseInfo.viewGalleryOrCommentary.commentary,commentary page,commentary page,страница комментариев,
FALSE,,releaseInfo.viewOriginalFile,View {LINK}.,View {LINK}.,Смотреть {LINK}.,
FALSE,,releaseInfo.viewOriginalFile.withSize,View {LINK} ({SIZE}).,View {LINK} ({SIZE}).,Смотреть {LINK} ({SIZE}).,
FALSE,,releaseInfo.viewOriginalFile.link,original file,original file,оригинальный файл,
FALSE,,releaseInfo.viewOriginalFile.sizeWarning,"(Heads up! If you're on a mobile plan, this is a large download.)","(Heads up! If you're on a mobile plan, this is a large download.)","(Внимание! Если вы пользуетесь мобильным тарифным планом, это большая загрузка.)",
FALSE,,releaseInfo.listenOn,Listen on {LINKS}.,Listen on {LINKS}.,Слушать на {LINKS}.,
FALSE,,releaseInfo.listenOn.noLinks,This wiki doesn't have any listening links for {NAME}.,This wiki doesn't have any listening links for {NAME}.,У этого вики нет ссылок для прослушивания {NAME}.,
FALSE,,releaseInfo.visitOn,Visit on {LINKS}.,Visit on {LINKS}.,Посетить на {LINKS}.,
FALSE,,releaseInfo.playOn,Play on {LINKS}.,Play on {LINKS}.,Играть на {LINKS}.,
FALSE,,releaseInfo.readCommentary,Read {LINK}.,Read {LINK}.,Читать на {LINK}.,
FALSE,,releaseInfo.readCommentary.link,artist commentary,artist commentary,комментарии автора,
FALSE,,releaseInfo.readCreditSources,Read {LINK}.,Read {LINK}.,,
FALSE,,releaseInfo.readCreditSources.link,crediting sources,crediting sources,,
FALSE,,releaseInfo.additionalFiles.heading,View or download additional files:,View or download {ADDITIONAL_FILES}:,Смотреть или скачать {ADDITIONAL_FILES}:,
FALSE,,releaseInfo.additionalFiles.entry,{TITLE},{TITLE},{TITLE},
FALSE,,releaseInfo.additionalFiles.entry.noFilesAvailable,There are no files available or listed for this entry.,There are no files available or listed for this entry.,Для данной записи нет доступных или указанных файлов.,
FALSE,,releaseInfo.additionalFiles.file,{FILE},{FILE},{FILE},
FALSE,,releaseInfo.additionalFiles.file.withSize,{FILE} ({SIZE}),{FILE} ({SIZE}),{FILE} ({SIZE}),
FALSE,,releaseInfo.additionalFiles.shortcut,View {LINK}.,View {ANCHOR_LINK}: {TITLES},Смотреть {ANCHOR_LINK}: {TITLES},
FALSE,,releaseInfo.additionalFiles.shortcut.link,additional files,additional files,дополнительные файлы,
FALSE,,releaseInfo.sheetMusicFiles.heading,Print or download sheet music files:,Print or download sheet music files:,Распечатать или скачать файлы нот:,
FALSE,,releaseInfo.sheetMusicFiles.shortcut,Download {LINK}.,Download {LINK}.,Скачать {LINK}.,
FALSE,,releaseInfo.sheetMusicFiles.shortcut.link,sheet music files,sheet music files,файлы нот,
FALSE,,releaseInfo.midiProjectFiles.heading,Download MIDI/project files:,Download MIDI/project files:,Скачать MIDI/файлы проекта:,
FALSE,,releaseInfo.midiProjectFiles.shortcut,Download {LINK}.,Download {LINK}.,Скачать {LINK}.,
FALSE,,releaseInfo.midiProjectFiles.shortcut.link,MIDI/project files,MIDI/project files,Файлы MIDI/проекта,
FALSE,,trackList.section,{SECTION}:,{SECTION}:,,
FALSE,,trackList.section.withDuration,{SECTION}: ({DURATION}),{SECTION}: ({DURATION}),,
FALSE,,trackList.section.sticky,{SECTION}:,{SECTION}:,,
FALSE,,trackList.fromGroup,From {GROUP}:,From {GROUP}:,Из {GROUP}:,
FALSE,,trackList.fromOther,From somewhere else:,From somewhere else:,Из другого места:,
FALSE,,trackList.item,{TRACK},{TRACK},,
FALSE,,trackList.item.withDuration,{DURATION} {TRACK},{DURATION} {TRACK},,
FALSE,,trackList.item.withDuration.duration,({DURATION}),({DURATION}),,
FALSE,,trackList.item.withDuration.duration.missing,_:__,_:__,,
FALSE,,trackList.item.withDuration.duration.missing.info,no duration provided; treated as zero seconds long,no duration provided; treated as zero seconds long,продолжительность не приведена; длительность рассматривается как ноль секунд,
FALSE,,trackList.item.withArtists,{TRACK} {BY},{TRACK} {BY},,
FALSE,,trackList.item.withArtists.by,by {ARTISTS},by {ARTISTS},от {ARTISTS},
FALSE,,trackList.item.withArtists.featuring,feat. {ARTISTS},feat. {ARTISTS},,
FALSE,,trackList.item.withArtists.by.featuring,by {ARTISTS} feat. {FEATURING},by {ARTISTS} feat. {FEATURING},,
FALSE,,trackList.item.withDuration.withArtists,{DURATION} {TRACK} {BY},{DURATION} {TRACK} {BY},,
FALSE,,trackList.item.rerelease,{TRACK} (rerelease),{TRACK} (rerelease),{TRACK} (переиздание),
FALSE,,misc.additionalNames.title,Additional or alternate names:,Additional or alternate names:,Дополнительные или альтернативные названия:,
FALSE,,misc.additionalNames.tooltip,Click to view additional or alternate names,Click to view additional or alternate names,Нажмите чтобы смотреть дополнительные или альтернативные названия,
FALSE,,misc.additionalNames.item,{NAME},{NAME},{NAME},
FALSE,,misc.additionalNames.item.withAccent,{NAME} {ACCENT},{NAME} {ACCENT},{NAME} {ACCENT},
FALSE,,misc.additionalNames.item.accent.withAnnotation,({ANNOTATION}),({ANNOTATION}),({ANNOTATION}),
FALSE,,misc.alt.albumCover,album cover,album cover,обложка альбома,
FALSE,,misc.alt.albumBanner,album banner,album banner,баннер альбома,
FALSE,,misc.alt.trackCover,track cover,track cover,обложка трека,
FALSE,,misc.alt.artistAvatar,artist avatar,artist avatar,аватар автора,
FALSE,,misc.alt.flashArt,flash art,flash art,флеш арт,
FALSE,,misc.artistCommentary,Artist commentary:,Artist commentary:,Комментарии автора:,
FALSE,,misc.artistCommentary.entry.title,{ARTISTS}:,{ARTISTS}:,{ARTISTS}:,
FALSE,,misc.artistCommentary.entry.title.noArtists,Unknown artist,Unknown artist,Неизвестный автор,
FALSE,,misc.artistCommentary.entry.title.withAccent,{ARTISTS}: {ACCENT},{ARTISTS}: {ACCENT},{ARTISTS}: {ACCENT},
FALSE,,misc.artistCommentary.entry.title.accent.withAnnotation,({ANNOTATION}),({ANNOTATION}),({ANNOTATION}),
FALSE,,misc.artistCommentary.entry.title.date,{DATE},{DATE},{DATE},
FALSE,,misc.artistCommentary.entry.title.date.range,{DATE_RANGE},{DATE_RANGE},{DATE_RANGE},
FALSE,,misc.artistCommentary.entry.title.date.accessed,accessed {DATE},accessed {DATE},,
FALSE,,misc.artistCommentary.entry.title.date.captured,captured {DATE},captured {DATE},,
FALSE,,misc.artistCommentary.entry.title.date.around,around {DATE},around {DATE},,
FALSE,,misc.artistCommentary.entry.title.date.around.range,around {DATE_RANGE},around {DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.title.date.sometime.range,sometime {DATE_RANGE},sometime {DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.title.date.throughout.range,throughout {DATE_RANGE},throughout {DATE_RANGE},,
FALSE,,misc.artistCommentary.entry.seeOriginalRelease,See {ORIGINAL}!,See {ORIGINAL}!,Смотреть {ORIGINAL}!,
FALSE,,misc.artistCredit.withNormalArtists,{NORMAL},{NORMAL},{NORMAL},
FALSE,,misc.artistCredit.withFeaturingArtists,feat. {FEATURING},feat. {FEATURING},,
FALSE,,misc.artistCredit.withNormalArtists.withFeaturingArtists,{NORMAL} feat. {FEATURING},{NORMAL} feat. {FEATURING},,
FALSE,,misc.artistLink,{ARTIST},{ARTIST},{ARTIST},
FALSE,,misc.artistLink.withContribution,{ARTIST} ({CONTRIB}),{ARTIST} ({CONTRIB}),{ARTIST} ({CONTRIB}),
FALSE,,misc.artistLink.withEditsForWiki,{ARTISTS} ({EDITS}),{ARTISTS} ({EDITS}),{ARTISTS} ({EDITS}),
FALSE,,misc.artistLink.withEditsForWiki.edits,+ edits,+ edits,,
FALSE,,misc.artistLink.withEditsForWiki.editsLine,Edits for wiki by {ARTISTS},Edits for wiki by {ARTISTS},,
FALSE,,misc.artistLink.noExternalLinkPlatformName,Other,Other,Другое,
FALSE,,misc.artistLink.chronology.previous.symbol,←,←,←,
FALSE,,misc.artistLink.chronology.previous.info,Previous by this artist,Previous by this artist,,
FALSE,,misc.artistLink.chronology.previous.info.withKind,Previous {KIND} by this artist,Previous {KIND} by this artist,,
FALSE,,misc.artistLink.chronology.next.symbol,→,→,→,
FALSE,,misc.artistLink.chronology.next.info,Next by this artist,Next by this artist,,
FALSE,,misc.artistLink.chronology.next.info.withKind,Next {KIND} by this artist,Next {KIND} by this artist,,
FALSE,,misc.artistLink.chronology.kind.album,album,album,,
FALSE,,misc.artistLink.chronology.kind.bannerArt,banner art,banner art,,
FALSE,,misc.artistLink.chronology.kind.coverArt,cover art,cover art,,
FALSE,,misc.artistLink.chronology.kind.flash,flash,flash,,
FALSE,,misc.artistLink.chronology.kind.track,track,track,,
FALSE,,misc.artistLink.chronology.kind.trackArt,track art,track art,,
FALSE,,misc.artistLink.chronology.kind.trackContribution,track contribution,track contribution,,
FALSE,,misc.artistLink.chronology.kind.wallpaperArt,wallpaper art,wallpaper art,,
FALSE,,misc.chronology.seeArtistPages,(See artist pages for chronology info!),(See artist pages for chronology info!),(Смотреть страницы авторов для инфо о хронологии!),
FALSE,,misc.chronology.withNavigation,{HEADING} ({NAVIGATION}),{HEADING} ({NAVIGATION}),{HEADING} ({NAVIGATION}),
FALSE,,misc.chronology.heading.coverArt,{INDEX} cover art by {ARTIST},{INDEX} cover art by {ARTIST},,
FALSE,,misc.chronology.heading.flash,{INDEX} flash/game by {ARTIST},{INDEX} flash/game by {ARTIST},,
FALSE,,misc.chronology.heading.track,{INDEX} track by {ARTIST},{INDEX} track by {ARTIST},,
FALSE,,misc.chronology.heading.trackArt,{INDEX} track art by {ARTIST},{INDEX} track art by {ARTIST},,
FALSE,,misc.chronology.heading.onlyIndex,Only,Only,,
FALSE,,misc.creditSources,Crediting sources:,Crediting sources:,,
FALSE,,misc.external.external,External,External,Внешнее,
FALSE,,misc.external.withDomain,{PLATFORM} ({DOMAIN}),{PLATFORM} ({DOMAIN}),{PLATFORM} ({DOMAIN}),
FALSE,,misc.external.withHandle,{PLATFORM} ({HANDLE}),{PLATFORM} ({HANDLE}),{PLATFORM} ({HANDLE}),
FALSE,,misc.external.opensInNewTab,{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),
FALSE,,misc.external.opensInNewTab.annotation,opens in new tab,opens in new tab,открывается в новой вкладке,
FALSE,,misc.external.invalidURL,{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),{LINK} ({ANNOTATION}),
FALSE,,misc.external.invalidURL.annotation,invalid URL,invalid URL,недействительный URL,
FALSE,,misc.external.amazonMusic,Amazon Music,Amazon Music,Amazon Music,
FALSE,,misc.external.appleMusic,Apple Music,Apple Music,Apple Music,
FALSE,,misc.external.artstation,ArtStation,ArtStation,ArtStation,
FALSE,,misc.external.bandcamp,Bandcamp,Bandcamp,Bandcamp,
FALSE,,misc.external.bgreco,bgreco.net,bgreco.net,bgreco.net,
FALSE,,misc.external.bgreco.flash,bgreco.net (high quality audio),bgreco.net (high quality audio),bgreco.net (высококачественное аудио),
FALSE,,misc.external.bluesky,Bluesky,Bluesky,Bluesky,
FALSE,,misc.external.carrd,Carrd,Carrd,Carrd,
FALSE,,misc.external.cohost,Cohost,Cohost,Cohost,
FALSE,,misc.external.deconreconstruction,Deconreconstruction,Deconreconstruction,Deconreconstruction,
FALSE,,misc.external.deconreconstruction.music,MUSIC@DCRC,MUSIC@DCRC,MUSIC@DCRC,
FALSE,,misc.external.deviantart,DeviantArt,DeviantArt,DeviantArt,
FALSE,,misc.external.facebook,Facebook,Facebook,Facebook,
FALSE,,misc.external.fandom,Fandom,Fandom,,
FALSE,,misc.external.fandom.mspaintadventures,MSPA Wiki,MSPA Wiki,,
FALSE,,misc.external.fandom.mspaintadventures.page,MSPA Wiki ({PAGE}),MSPA Wiki ({PAGE}),,
FALSE,,misc.external.gamebanana,GameBanana,GameBanana,GameBanana,
FALSE,,misc.external.homestuck,Homestuck,Homestuck,Homestuck,
FALSE,,misc.external.homestuck.page,Homestuck (page {PAGE}),Homestuck (page {PAGE}),Homestuck (страница {PAGE}),
